Daily Crime and Fire Log 01/07/2022 UCI Campus,,,,,
Nature,Case #,Reported,Occurred,Location,Disposition
Petty Theft,22-0031,01/06/2022 18:39,01/06/2022  12:45 - 18:30,"Social And Behavioral Sciences Gateway, 214 Social Sciences Quad, Irvine",Pending 01/06/2022
Possess Unlawful Paraphernalia,22-0025,01/06/2022 00:52,01/06/2022  00:52,"San Diego Creek Trail, University Dr/California Av, Irvine",Cleared By Adult Arrest 01/06/2022
Theft:False Pretenses-Over $400,22-0022,01/05/2022 19:01,01/03/2021  12:00 - 01/05/2021 17:30,"Middle Earth Housing, 557 E Peltason Dr, Irvine",Pending 01/05/2021
Make/Pass Fictitious Check/Bill/Note,22-0022,01/05/2022 19:01,01/03/2021  12:00 - 01/05/2021 17:30,"Middle Earth Housing, 557 E Peltason Dr, Irvine",Pending 01/05/2021
Petty Theft,22-0015,01/04/2022 18:45,01/04/2022  09:30 - 16:00,"Interdisciplinary Science & Engineering, 419 Physical Sciences Quad, Irvine",Pending 01/05/2022
Theft By Use of Access Card Info:-$950,22-0014,01/04/2022 17:58,11/13/2021  16:35 - 11/14/2021,"502 Cervantes Ct, Irvine",Inactive 01/04/2022
Grand Theft:Money/Prop/Etc $950+,22-0009,01/03/2022 19:14,12/11/2021  23:00 - 01/03/2022 09:00,"Lot AV2 - Arroyo Vista, 2 AV2 Uci Parking Lot, Irvine",Inactive 01/03/2022
Petty Theft,22-0008,01/03/2022 17:38,01/03/2022  08:30 - 17:30,"Social Science Plaza B, 213 Social Sciences Quad, Irvine",Inactive 01/03/2022
Petty Theft,22-0006,01/03/2022 15:34,"12/13/2021 - 01/03/2022, Unknown Time","292 Vista Del Campo Norte, 29200 Arroyo Dr, Irvine",Inactive 01/03/2022
Petty Theft,22-0002,01/01/2022 19:59,"12/11/2021 - 01/01/2022, Unknown Time","29072 Arroyo Dr, Irvine",Inactive 01/01/2022
Vandalism: Less thn $400/Damages,22-0002,01/01/2022 19:59,"12/11/2021 - 01/01/2022, Unknown Time","29072 Arroyo Dr, Irvine",Inactive 01/01/2022
Poss Controlled Substance (M),22-0001,01/01/2022 02:39,01/01/2021  02:39,"Albertsons, 4541 Campus Dr, Irvine",Cleared By Adult Arrest 01/01/2021
Possess Unlawful Paraphernalia,22-0001,01/01/2022 02:39,01/01/2021  02:39,"Albertsons, 4541 Campus Dr, Irvine",Cleared By Adult Arrest 01/01/2021
Grand Theft:Money/Prop/Etc $950+,21-1871,12/31/2021 17:17,12/27/2021  16:00 - 12/31/2021 17:00,"Palo Verde Housing, 6303 Palo Verde Rd, Irvine",Inactive 12/31/2021
Vandalism: Less thn $400/Damages,21-1871,12/31/2021 17:17,12/27/2021  16:00 - 12/31/2021 17:00,"Palo Verde Housing, 6303 Palo Verde Rd, Irvine",Inactive 12/31/2021
Petty Theft,21-1870,12/31/2021 15:47,"12/20/2021 - 12/24/2021, Unknown Time","Krieger Hall, 600 Humanities Quad, Irvine",Inactive 12/31/2021
Vandalism: Less thn $400/Damages,21-1868,12/31/2021 00:33,"12/28/2021 - 12/31/2021, Unknown Time","Social Science Parking Structure, 4300 Campus Dr, Irvine",Inactive 12/31/2021
Extortion,21-1864,12/29/2021 23:04,12/29/2021  22:30 - 22:45,"University Hills, 9 Virgil Ct, Irvine",Pending 12/30/2021
ID Theft:Obtain Pers ID Info,21-1863,12/29/2021 19:54,11/30/2021 - 12/29/2021,"Student Health Center, 410 E Peltason Dr, Irvine",Pending 12/29/2021
Burglary,21-1859,12/28/2021 23:50,12/24/2021  02:33 - 02:34,"Plaza Verde General Area, 15000 Arroyo Dr, Irvine",Pending 12/29/2021
Burglary,21-1860,12/28/2021 23:50,12/26/2021  06:41 - 06:44,"Plaza Verde General Area, 15000 Arroyo Dr, Irvine",Pending 12/29/2021
Commit Mail Theft,21-1858,12/28/2021 18:06,"11/01/2021 - 12/28/2021, Unknown Time","29535 Arroyo Dr, Irvine",Pending 12/28/2021
